;Eh oui un arbre;;;;;;;;;;;;
;cout;tps(ms);valide ?;;;;;;;;;;
KEP_p100_n0_k3_l0;1 238;201;true;;;;;;;;;;
KEP_p100_n11_k3_l13;2 256;2 087;true;;;;;;;;;;
KEP_p100_n11_k3_l4;2 075;88;true;;;;;;;;;;
KEP_p100_n11_k3_l7;2 256;1 821;true;;;;;;;;;;
KEP_p100_n11_k5_l17;2 328;1 697;true;;;;;;;;;;
KEP_p100_n5_k3_l13;2 053;222;true;;;;;;;;;;
KEP_p100_n5_k3_l4;1 729;19;true;;;;;;;;;;
KEP_p100_n5_k3_l7;2 053;266;true;;;;;;;;;;
KEP_p100_n5_k5_l17;2 359;184;true;;;;;;;;;;
KEP_p18_n0_k4_l0;98;8;true;;;;;;;;;;
KEP_p18_n2_k4_l4;107;8;true;;;;;;;;;;
KEP_p50_n0_k3_l0;313;5;true;;;Instance : KEP_p100_n0_k3_l0;;;Instance : KEP_p100_n0_k3_l0;;;;#VALEUR!
KEP_p50_n3_k3_l13;478;18;true;;;0;;;0;;;;0
KEP_p50_n3_k3_l4;448;20;true;;;Instance : KEP_p100_n0_k3_l0;;;Instance : KEP_p100_n0_k3_l0;;;;#VALEUR!
KEP_p50_n3_k3_l7;478;21;true;;;0;;;0;;;;0
KEP_p50_n3_k5_l17;508;21;true;;;Instance : KEP_p100_n11_k3_l13;;;Instance : KEP_p100_n11_k3_l13;;;;#VALEUR!
KEP_p50_n6_k3_l13;951;23;true;;;3089858;;;3090344;;;;-486
KEP_p50_n6_k3_l4;873;12;true;;;Instance : KEP_p100_n11_k3_l13;;;Instance : KEP_p100_n11_k3_l13;;;;#VALEUR!
KEP_p50_n6_k3_l7;951;28;true;;;3089858;;;3090344;;;;-486
KEP_p50_n6_k5_l17;965;28;true;;;Instance : KEP_p100_n11_k3_l4;;;Instance : KEP_p100_n11_k3_l4;;;;#VALEUR!
KEP_p9_n0_k3_l0;61;16;true;;;3323;;;3323;;;;0
KEP_p9_n1_k3_l3;65;9;true;;;Instance : KEP_p100_n11_k3_l4;;;Instance : KEP_p100_n11_k3_l4;;;;#VALEUR!
;;;;;;3323;;;3323;;;;0
SOMME;24 643;6 802;true;;;Instance : KEP_p100_n11_k3_l7;;;Instance : KEP_p100_n11_k3_l7;;;;#VALEUR!
;;;;;;626692;;;626761;;;;-69
;;;;;;Instance : KEP_p100_n11_k3_l7;;;Instance : KEP_p100_n11_k3_l7;;;;#VALEUR!
;;;;;;626692;;;626761;;;;-69
;;;;;;Instance : KEP_p100_n11_k5_l17;;;Instance : KEP_p100_n11_k5_l17;;;;#VALEUR!
;;;;;;3089858;;;3090344;;;;-486
;;;;;;Instance : KEP_p100_n11_k5_l17;;;Instance : KEP_p100_n11_k5_l17;;;;#VALEUR!
;;;;;;3089858;;;3090344;;;;-486
;;;;;;Instance : KEP_p100_n33_k3_l13;;;Instance : KEP_p100_n33_k3_l13;;;;#VALEUR!
;;;;;;95455;;;96039;;;;-584
;;;;;;Instance : KEP_p100_n33_k3_l13;;;Instance : KEP_p100_n33_k3_l13;;;;#VALEUR!
;;;;;;95455;;;96039;;;;-584
;;;;;;Instance : KEP_p100_n33_k3_l4;;;Instance : KEP_p100_n33_k3_l4;;;;#VALEUR!
;;;;;;1771;;;1771;;;;0
;;;;;;Instance : KEP_p100_n33_k3_l4;;;Instance : KEP_p100_n33_k3_l4;;;;#VALEUR!
;;;;;;1771;;;1771;;;;0
;;;;;;Instance : KEP_p100_n33_k3_l7;;;Instance : KEP_p100_n33_k3_l7;;;;#VALEUR!
;;;;;;37463;;;37623;;;;-160
;;;;;;Instance : KEP_p100_n33_k3_l7;;;Instance : KEP_p100_n33_k3_l7;;;;#VALEUR!
;;;;;;37463;;;37623;;;;-160
;;;;;;Instance : KEP_p100_n33_k5_l17;;;Instance : KEP_p100_n33_k5_l17;;;;#VALEUR!
;;;;;;95455;;;96039;;;;-584
;;;;;;Instance : KEP_p100_n33_k5_l17;;;Instance : KEP_p100_n33_k5_l17;;;;#VALEUR!
;;;;;;95455;;;96039;;;;-584
;;;;;;Instance : KEP_p100_n5_k3_l13;;;Instance : KEP_p100_n5_k3_l13;;;;#VALEUR!
;;;;;;177636;;;177818;;;;-182
;;;;;;Instance : KEP_p100_n5_k3_l13;;;Instance : KEP_p100_n5_k3_l13;;;;#VALEUR!
;;;;;;177636;;;177818;;;;-182
;;;;;;Instance : KEP_p100_n5_k3_l4;;;Instance : KEP_p100_n5_k3_l4;;;;#VALEUR!
;;;;;;879;;;879;;;;0
;;;;;;Instance : KEP_p100_n5_k3_l4;;;Instance : KEP_p100_n5_k3_l4;;;;#VALEUR!
;;;;;;879;;;879;;;;0
;;;;;;Instance : KEP_p100_n5_k3_l7;;;Instance : KEP_p100_n5_k3_l7;;;;#VALEUR!
;;;;;;52966;;;52995;;;;-29
;;;;;;Instance : KEP_p100_n5_k3_l7;;;Instance : KEP_p100_n5_k3_l7;;;;#VALEUR!
;;;;;;52966;;;52995;;;;-29
;;;;;;Instance : KEP_p100_n5_k5_l17;;;Instance : KEP_p100_n5_k5_l17;;;;#VALEUR!
;;;;;;177636;;;177818;;;;-182
;;;;;;Instance : KEP_p100_n5_k5_l17;;;Instance : KEP_p100_n5_k5_l17;;;;#VALEUR!
;;;;;;177636;;;177818;;;;-182
;;;;;;Instance : KEP_p18_n0_k4_l0;;;Instance : KEP_p18_n0_k4_l0;;;;#VALEUR!
;;;;;;0;;;0;;;;0
;;;;;;Instance : KEP_p18_n0_k4_l0;;;Instance : KEP_p18_n0_k4_l0;;;;#VALEUR!
;;;;;;0;;;0;;;;0
;;;;;;Instance : KEP_p18_n2_k4_l4;;;Instance : KEP_p18_n2_k4_l4;;;;#VALEUR!
;;;;;;48;;;48;;;;0
;;;;;;Instance : KEP_p18_n2_k4_l4;;;Instance : KEP_p18_n2_k4_l4;;;;#VALEUR!
;;;;;;48;;;48;;;;0
;;;;;;Instance : KEP_p250_n0_k3_l0;;;Instance : KEP_p250_n0_k3_l0;;;;#VALEUR!
;;;;;;0;;;0;;;;0
;;;;;;Instance : KEP_p250_n0_k3_l0;;;Instance : KEP_p250_n0_k3_l0;;;;#VALEUR!
;;;;;;0;;;0;;;;0
;;;;;;Instance : KEP_p250_n13_k3_l13;;;Instance : KEP_p250_n13_k3_l13;;;;#VALEUR!
